CustomerID,Recency,Frequency,Monetary,AOV,Predicted_LTV
12347.0,96,5,2540.29,508.058,2682.3928
12348.0,221,1,367.0,367.0,367.34625
12350.0,312,1,334.4,334.4,329.82526
12352.0,275,3,1296.38,432.1266666666667,1294.7102
12355.0,97,1,459.4,459.4,454.1803
12356.0,129,1,481.46000000000004,481.46000000000004,481.63977
12357.0,183,1,6207.67,6207.67,6205.336
12358.0,4,2,1168.06,584.03,1176.7039
12359.0,10,3,3495.73,1165.2433333333333,3478.586
12362.0,31,5,2135.79,427.158,2126.598
12363.0,37,1,299.1,299.1,296.5941
12364.0,302,1,310.32,310.32,309.5335
12367.0,213,1,168.9,168.9,167.47368
12370.0,69,1,938.39,938.39,935.0902
12371.0,31,1,1527.96,1527.96,1386.8646
12372.0,36,1,515.7,515.7,510.70352
12373.0,343,1,364.6,364.6,364.17105
12375.0,305,1,230.3,230.3,225.98846
12378.0,306,1,4008.62,4008.62,4007.1296
12380.0,158,1,607.5500000000001,607.5500000000001,624.2722
12381.0,1,5,1845.31,369.062,1830.6669
12383.0,10,2,750.61,375.305,753.3547
12384.0,30,2,585.27,292.635,595.67816
12386.0,193,2,401.9,200.95,411.07736
12388.0,99,2,334.95000000000005,167.47500000000002,331.12177
12393.0,40,2,884.1,442.05,886.9281
12394.0,154,2,1272.48,636.24,1254.9209
12395.0,6,7,1762.63,251.80428571428573,1773.8187
12397.0,244,1,1195.09,1195.09,1201.7943
12399.0,3,3,820.6,273.53333333333336,805.9406
12401.0,100,1,84.3,84.3,82.37238
12406.0,96,1,1621.25,1621.25,1616.3566
12407.0,187,1,719.06,719.06,710.48376
12408.0,153,2,1396.78,698.39,1362.824
12409.0,66,1,6207.08,6207.08,6210.452
12410.0,253,2,693.3299999999999,346.66499999999996,684.60956
12413.0,193,2,673.45,336.725,679.2268
12414.0,189,2,319.61,159.805,325.5926
12415.0,71,10,44582.79,4458.279,44577.24
12417.0,182,4,1572.48,393.12,1587.8619
12420.0,154,1,600.39,600.39,596.69086
12422.0,216,1,147.7,147.7,144.02736
12423.0,90,3,548.92,182.97333333333333,549.7234
12427.0,62,2,586.08,293.04,597.71356
12428.0,33,6,6580.52,1096.7533333333333,7723.1763
12429.0,455,1,1281.5,1281.5,1216.0046
12431.0,3,7,3055.05,436.4357142857143,3045.009
12433.0,90,5,9033.92,1806.784,9006.921
12436.0,336,1,509.01,509.01,508.867
12437.0,10,7,2040.81,291.5442857142857,2023.3987
12441.0,486,1,173.55,173.55,172.2134
12442.0,182,1,172.06,172.06,171.91904
12444.0,1,2,1636.08,818.04,1683.1166
12447.0,68,1,476.49,476.49,480.1718
12449.0,93,3,2724.58,908.1933333333333,2674.776
12450.0,187,1,96.0,96.0,96.37426
12451.0,215,2,4927.87,2463.935,4834.9644
12455.0,187,3,477.46000000000004,159.15333333333334,471.62424
12457.0,245,1,196.35,196.35,196.34943
12461.0,126,2,826.88,413.44,826.92377
